Data Number,Motor 1 Position,Motor 2 Position,Motor 3 Position,Motor 4 Position,Frequency (MHz),Real Impedance (Ohms),Imaginary Impedance (Ohms),Color
,11,0,0,41,18.5,42.472175207216814,40.489877912310796,#1abc9c
,21,0,0,41,18.5,41.144712453618205,46.58650592305249,#1abc9c
,31,0,0,41,18.5,40.16885576230605,52.246739032466316,#1abc9c
,41,0,0,41,18.5,39.48620467337263,57.54571539713589,#1abc9c
,51,0,0,41,18.5,39.087180044959986,62.9012591642837,#1abc9c
,61,0,0,41,18.5,38.83149996659954,67.74607854309696,#1abc9c
,71,0,0,41,18.5,38.8983701383935,72.73111910508553,#1abc9c
,81,0,0,41,18.5,38.95840218830829,77.3916370928531,#1abc9c
,91,0,0,41,18.5,39.41263078778783,81.67890262564856,#1abc9c
,100,0,0,41,18.5,39.78631857672068,86.10673382874512,#1abc9c
,110,0,0,41,18.5,40.50491841682485,90.10610647920393,#1abc9c
,121,0,0,41,18.5,41.11456642010298,93.6813053253447,#1abc9c
,131,0,0,41,18.5,41.97589688830083,97.79962469923152,#1abc9c
,140,0,0,41,18.5,42.67182148255546,101.02767998779542,#1abc9c
,150,0,0,41,18.5,43.79114060463247,104.47851970082161,#1abc9c
,160,0,0,41,18.5,44.432796197152605,107.6687728073106,#1abc9c
,170,0,0,41,18.5,45.76110380942104,110.75531170909598,#1abc9c
,180,0,0,41,18.5,45.785389134606845,111.7180696000855,#1abc9c
,190,0,0,41,18.5,44.74576093152559,108.39131541296618,#1abc9c
,200,0,0,41,18.5,43.679167137390834,105.04203172991299,#1abc9c
,0,0,0,51,18.5,46.00897192580783,44.84179748966825,#f1c40f
,10,0,0,51,18.5,44.30588943385098,50.94150039956522,#f1c40f
,20,0,0,51,18.5,42.71513063226743,57.266360910171656,#f1c40f
,30,0,0,51,18.5,42.075200015115804,62.986380112103966,#f1c40f
,40,0,0,51,18.5,41.30815856586627,68.90191532774357,#f1c40f
,50,0,0,51,18.5,41.056097588837744,74.11843602989484,#f1c40f
,60,0,0,51,18.5,40.7456990895187,79.21913966782354,#f1c40f
,70,0,0,51,18.5,40.908560030957105,84.01729970015948,#f1c40f
,80,0,0,51,18.5,40.92905322171051,88.8943184010429,#f1c40f
,90,0,0,51,18.5,41.3449146067988,93.63877737599118,#f1c40f
,100,0,0,51,18.5,41.638765056244964,97.56300147316237,#f1c40f
,110,0,0,51,18.5,42.90938538906143,102.04624702313039,#f1c40f
,120,0,0,51,18.5,43.186949992805395,105.64811281667549,#f1c40f
,130,0,0,51,18.5,43.645827027673796,109.52576452832203,#f1c40f
,140,0,0,51,18.5,45.0803330521788,113.42236095776298,#f1c40f
,149,0,0,51,18.5,46.02091650755174,116.4091138138823,#f1c40f
,159,0,0,51,18.5,47.65044623370303,120.18759561523265,#f1c40f
,170,0,0,51,18.5,48.258870569488764,122.89781383806726,#f1c40f
,180,0,0,51,18.5,49.32043070857351,123.8687305196504,#f1c40f
,189,0,0,51,18.5,47.537350244156286,120.61159663932932,#f1c40f
,-1,0,0,61,18.5,48.038854419323066,54.72514964923838,#2ecc71
,9,0,0,61,18.5,46.27650176299664,61.87106542958155,#2ecc71
,20,0,0,61,18.5,44.97717186614112,68.12303631512373,#2ecc71
,30,0,0,61,18.5,44.02647059120958,74.09827440525416,#2ecc71
,39,0,0,61,18.5,43.3080825015017,79.50459554555019,#2ecc71
,49,0,0,61,18.5,42.86989868946572,84.9278007769278,#2ecc71
